"County","General Fund M&O Tax Rate","General Fund I&S Tax Rate","Special Road & Bridge Fund M&O Tax Rate","Special Road & Bridge Fund I&S Tax Rate","Farm-to-Market/Flood Control Fund M&O Tax Rate","Farm-to-Market/Flood Control I&S Tax Rate"
"Roberts","$0.480000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.190000","$0.000000 "
"Robertson","$0.485000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Rockwall","$0.255870 ","$0.093930 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Runnels","$0.639857 ","$0.000000 ","$0.053803 ","$0.000000 ","$0.000000","$0.000000 "
"Rusk","$0.403421 ","$0.044227 ","$0.064725 ","$0.000000 ","$0.099457","$0.000000 "
"Sabine","$0.428826 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"San Augustine","$0.463410 ","$0.046340 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"San Jacinto","$0.426300 ","$0.048860 ","$0.045900 ","$0.000000 ","$0.102400","$0.016520 "
"San Patricio","$0.428129 ","$0.040392 ","$0.047803 ","$0.000000 ","$0.000000","$0.000000 "
"San Saba","$0.619000 ","$0.000000 ","$0.133500 ","$0.000000 ","$0.000000","$0.000000 "
"Schleicher","$0.754000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.142500","$0.000000 "
"Scurry","$0.369100 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Shackelford","$0.493500 ","$0.082300 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Shelby","$0.434700 ","$0.000000 ","$0.079500 ","$0.000000 ","$0.153500","$0.000000 "
"Sherman","$0.744970 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Smith","$0.298359 ","$0.031641 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Somervell","$0.461590 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Starr","$0.525800 ","$0.010000 ","$0.000000 ","$0.000000 ","$0.232600","$0.010000 "
"Stephens","$0.591200 ","$0.160400 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Sterling","$0.433121 ","$0.118663 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Stonewall","$0.800000 ","$0.000000 ","$0.005400 ","$0.000000 ","$0.150000","$0.000000 "
"Sutton","$0.563919 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.112900","$0.000000 "
"Swisher","$0.710000 ","$0.022500 ","$0.000000 ","$0.000000 ","$0.080000","$0.000000 "
"Tarrant","$0.221919 ","$0.022081 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Taylor","$0.555900 ","$0.047200 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Terrell","$0.800000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Terry","$0.750000 ","$0.030000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Throckmorton","$0.800000 ","$0.044452 ","$0.150000 ","$0.000000 ","$0.041235","$0.000000 "
"Titus","$0.358200 ","$0.120800 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Tom Green","$0.470650 ","$0.064350 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Travis","$0.314300 ","$0.054700 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Trinity","$0.619200 ","$0.030800 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Tyler","$0.716610 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.250000","$0.000000 "
"Upshur","$0.595000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Upton","$0.385000 ","$0.032523 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Uvalde","$0.525700 ","$0.095000 ","$0.000000 ","$0.000000 ","$0.120200","$0.000000 "
"Val Verde","$0.499300 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.024400","$0.000000 "
"Van Zandt","$0.486220 ","$0.029627 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Victoria","$0.311400 ","$0.021500 ","$0.063000 ","$0.000000 ","$0.000000","$0.000000 "
"Walker","$0.540800 ","$0.040700 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Waller","$0.570912 ","$0.013916 ","$0.000000 ","$0.000000 ","$0.032502","$0.000000 "
"Ward","$0.685800 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.034200","$0.000000 "
"Washington","$0.378300 ","$0.018000 ","$0.000000 ","$0.000000 ","$0.128000","$0.000000 "
"Webb","$0.376891 ","$0.037809 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Wharton","$0.369710 ","$0.000000 ","$0.053730 ","$0.000000 ","$0.051560","$0.000000 "
"Wheeler","$0.358240 ","$0.000000 ","$0.064430 ","$0.000000 ","$0.063800","$0.000000 "
"Wichita","$0.576640 ","$0.080663 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Wilbarger","$0.312730 ","$0.000000 ","$0.036050 ","$0.000000 ","$0.149950","$0.000000 "
"Willacy","$0.639200 ","$0.000000 ","$0.117600 ","$0.000000 ","$0.000000","$0.000000 "
"Williamson","$0.259029 ","$0.167500 ","$0.000000 ","$0.000000 ","$0.040000","$0.000000 "
"Wilson","$0.450600 ","$0.023200 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Winkler","$0.592800 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.057200","$0.000000 "
"Wise","$0.346400 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.032500","$0.000000 "
"Wood","$0.432400 ","$0.000000 ","$0.157500 ","$0.000000 ","$0.000000","$0.000000 "
"Yoakum","$0.683381 ","$0.026901 ","$0.000000 ","$0.000000 ","$0.140783","$0.000000 "
"Young","$0.667584 ","$0.083716 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Zapata","$0.624000 ","$0.000000 ","$0.070016 ","$0.000000 ","$0.000010","$0.000000 "
"Zavala","$0.528000 ","$0.192000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
