County,District,Exemp_12.13,Exemp_13.14,Exemp_14.15,Exemp_15.16,Exemp_16.17,Exemp_17.18,Type,Pop_16
bexar,east central isd,0.27,0.32,0.38,0.46,0.59,0.5,b,10227
bexar,edgewood isd,0.06,0.09,0.08,0.1,0.01,0.08,b,10881
bexar,edgewood isd,0.06,0.09,0.08,0.1,0.01,0.08,g,10881
bexar,first baptist academy,1.32,1.81,2.2,1.43,3.1,3.15,o,298
bexar,ft sam houston isd,0.55,0.42,NA,0.88,0.89,0.73,g,1597
bexar,gateway (student alternative program inc,NA,0,NA,0,0,NA,o,NA
bexar,george gervin academy,0,NA,0,0,0,NA,i,1355
bexar,great hearts academy - san antonio,NA,NA,8.1,7.36,8.09,NA,o,NA
bexar,harlandale isd,0.01,0.06,0.04,0.1,0,0.01,b,14831
bexar,harmony school of innovation - san antonio,NA,0,0.65,0,NA,NA,o,NA
bexar,harmony science acad (san antonio),0.91,1.11,0.45,1.9,0.49,0.49,i,3705
bexar,healy-murphy h s,0,0,0,0,0,0,o,170
bexar,henry ford academy alameda school for ar,NA,0.55,0.63,0,0,2.9,o,NA
bexar,higgs carter king gifted & talented char,0.26,0,0,NA,NA,NA,o,NA
bexar,holy cross of san antonio,0,0,0,0,0,0,o,464
bexar,holy name sch,NA,NA,0,0.89,0.47,NA,o,NA
bexar,holy spirit catholic sch,0,0,0,0,0,0,o,441
bexar,incarnate word high sch,0,NA,NA,NA,NA,NA,o,NA
bexar,islamic school of san antonio,NA,NA,NA,NA,0,NA,o,NA
bexar,john h wood jr public charter district,0,0,0.78,1.36,0.84,1.96,o,581
bexar,jubilee academic center,0.67,1.55,1.91,1.76,1.74,1.17,i,916
bexar,judson isd,0.09,0.33,0.41,0.32,0.43,0.56,b,23037
bexar,keystone school,1.4,1.4,1.24,0,0.69,1.01,o,487
bexar,kids r kids no. 57 liberty field,NA,NA,NA,NA,0,NA,o,NA
bexar,kipp aspire academy,0.17,0,0,0.29,0.22,NA,o,430
bexar,lackland isd,0.37,0.12,0.44,0.23,0.76,2.01,f,1038
bexar,lighthouse charter school,0,0,0.43,0.7,0.34,0.72,i,295
bexar,little flower catholic sch,0,0,0,0,0,NA,o,244
bexar,lutheran high school san antonio,2.22,NA,3.66,2.59,1.99,2.44,o,NA
bexar,mid valley academy charter district,NA,NA,NA,NA,0,0,o,NA
bexar,mt sacred heart sch,0,0,0,0,0,0,o,373
bexar,new frontiers charter school,0.16,0,0.3,0.57,0.94,1.28,i,616
bexar,new life christian academy,0,0,0,NA,NA,NA,o,NA
bexar,north east isd,0.69,0.76,0.87,0.97,1.07,1.17,a,67531
bexar,northside isd,0.39,0.47,0.53,0.81,0.69,0.87,a,106145
bexar,northside isd,0.39,0.47,0.53,0.81,0.69,0.87,h,106145
bexar,por vida academy,0,0,0.28,0,0,0,i,263
bexar,positive solutions charter school,0,0,0,0,0,0,i,152
bexar,providence catholic school,0,0,0,0,0,NA,o,195
bexar,radiance academy of learning,NA,0.9,1.67,2.88,NA,NA,i,NA
bexar,randolph field isd,0.25,0.52,0.55,0.67,1.5,0.77,g,1429
bexar,river city believers academy,NA,NA,NA,NA,7.09,NA,o,NA
bexar,river city christian school,3.88,7.87,NA,2.5,3.16,1.09,o,NA
bexar,rolling hills catholic school,0,0,0,0,NA,0,o,NA
bexar,san antonio academy,0.32,0.29,0.32,NA,0.57,NA,o,NA
bexar,san antonio can high school,0,NA,NA,NA,NA,NA,i,NA
bexar,san antonio christian elementary school,2.09,2.17,NA,2.1,2.28,2.81,o,NA
bexar,san antonio country day school,NA,NA,NA,4.59,5.31,NA,o,NA
bexar,san antonio isd,0.15,0.15,0.15,0.17,0.22,0.39,a,52514
bexar,san antonio school for inquiry & creativ,1.85,2.61,NA,NA,NA,NA,o,NA
bexar,san antonio technology academy,0,NA,NA,NA,NA,NA,i,NA
bexar,scenic hills sda sch,NA,NA,NA,0,6.12,3.51,o,NA
bexar,school of excellence in education,0.44,0.92,0.72,0.11,0.41,0.5,i,830
bexar,school of science and technology,1.43,1.54,0.45,0.14,2.01,1.8,i,1238
bexar,school of science and technology corpus,NA,1.54,0.45,0.14,2.01,NA,o,NA
