County,District,Exemp_12.13,Exemp_13.14,Exemp_14.15,Exemp_15.16,Exemp_16.17,Exemp_17.18,Type,Pop_16
comanche,de leon isd,0.83,2.14,1.65,0.59,1.78,0.72,h,708
comanche,gustine isd,0,0,0,0,0,2.21,h,161
comanche,sidney isd,0,1.49,0,0,0,0,h,140
concho,eden cisd,0,0,NA,0,NA,0,h,249
concho,paint rock isd,0,0,0.51,0,1.4,1.29,h,230
cooke,callisburg isd,0.82,0.44,0.87,1.25,1.41,1.62,g,1148
cooke,era isd,2.22,1.78,1.91,1.46,2.58,2.74,h,468
cooke,gainesville isd,0.27,0.43,0.42,0.28,0.36,0.35,e,2945
cooke,gainesville state school,NA,NA,0,NA,NA,NA,o,NA
cooke,lindsay isd,0.77,1.02,1.18,1.22,0.61,0.61,h,490
cooke,muenster isd,1.58,1.55,1.69,1.27,1.65,2.49,h,518
cooke,sacred heart school,0,0,0,0,0,0,o,237
cooke,sivells bend isd,NA,0,NA,1.39,2.44,NA,h,81
cooke,st mary's catholic school,0,0,0,0,0,0,o,162
cooke,valley view isd,1.76,0.98,1.53,1.74,2.37,1.55,h,786
cooke,valley view isd,1.76,0.98,1.53,1.74,2.37,1.55,d,786
coryell,copperas cove isd,0.5,1.54,1.11,0.74,0.22,0.94,d,8099
coryell,evant isd,0.49,0.43,2.05,1.34,1.31,1.27,e,240
coryell,gatesville isd,0.21,0.33,0.44,0.54,0.77,1.06,d,2815
coryell,jonesboro isd,0,0,0,0.5,1.52,1.68,h,287
coryell,oglesby isd,0,1.84,1.71,3.75,4.08,1.85,h,158
cottle,paducah isd,0,NA,0,0,0,0,h,207
crane,crane isd,0.09,0.35,0.52,0.44,0.29,0.37,d,1116
crockett,crockett county consolidated csd,0.4,0.65,1.25,0.52,0.54,0.42,h,791
crosby,crosbyton cisd,0.54,0.59,0.88,1.13,0.82,1.45,h,389
crosby,lorenzo isd,1.84,1.14,1.13,0.65,0.77,1.22,h,277
crosby,ralls isd,0.2,0,1.16,0.99,0.61,0.62,h,549
culberson,culberson county-allamoore isd,NA,0,NA,0,0,0.51,h,425
dallam,dalhart christian academy,NA,8.11,NA,10.26,9.52,12.35,o,NA
dallam,dalhart isd,0.24,0.5,0.62,1.19,0.89,1.26,g,1774
dallam,st anthony's sch,0,0,0,0,0,0,o,123
dallam,texline isd,0,0.63,1.72,0.58,0,NA,h,175
dallas,a+ academy,0.32,0.21,0.22,0.19,0,0,i,1069
dallas,advantage academy,NA,NA,NA,NA,0.85,1.27,i,1650
dallas,akiba academy of dallas,0.58,NA,1.33,1.38,0,1.15,o,NA
dallas,all saints catholic school,0,0,0,0,0,NA,o,290
dallas,alpha charter school,2.36,NA,NA,0.73,NA,NA,i,NA
dallas,ann and nate levine academy-a solomon sc,0,NA,0.81,2.66,0.38,0,o,NA
dallas,aw brown-fellowship charter school,0.39,0.2,0.65,0.51,0.77,0.32,o,872
dallas,bishop dunne catholic high sch,0,0,0,0,0,0,o,558
dallas,bishop lynch high sch,NA,NA,NA,0,0,0,o,NA
dallas,brighter horizons academy,2.04,1.77,2.1,1.22,1.27,1.18,o,835
dallas,calvary lutheran,0,0,3.74,2.08,2.33,4.35,o,95
dallas,canterbury episcopal school,NA,0,0,2.37,2.9,1.27,o,NA
dallas,canyon creek christian academy,2.17,4.21,4.85,7.24,8.5,NA,o,195
dallas,carrollton-farmers branch isd,0.63,0.74,0.76,0.74,0.91,0.97,b,25276
dallas,carrollton christian academy,0.64,0.41,0.91,2.12,7.87,NA,o,260
dallas,cedar hill isd,0.62,0.67,0.78,0.16,0.13,1.33,b,7866
dallas,children first academy of dallas,NA,NA,NA,0,NA,NA,i,NA
dallas,children first academy of houston,NA,NA,NA,0,NA,NA,o,NA
dallas,christ the king elementary sch,0,NA,0.24,0,0,0,o,NA
dallas,cistercian catholic preparatory school,0,0.28,0,0,0,0,o,351
dallas,cityscape schools,NA,NA,NA,NA,0.33,0,o,620
dallas,coppell isd,1.15,1.3,1.43,1.63,1.65,1.72,b,12391
dallas,dallas academy,NA,0.52,2.02,NA,1.04,2.17,o,NA
dallas,dallas can academy charter,0,0,NA,0,NA,NA,i,NA
dallas,dallas christian academy,NA,NA,NA,4.32,NA,NA,o,NA
dallas,dallas christian j h,0.54,1.28,2.02,2.47,3.37,NA,o,735
dallas,dallas community charter school,8.13,4.17,6.79,5.23,NA,NA,i,NA
dallas,dallas international school,0.59,1.03,NA,4.17,NA,3.3,o,NA
dallas,dallas isd,0.23,0.26,0.29,0.34,0.36,0.39,a,157886
dallas,dallas lutheran school,0.58,0,0,NA,0.59,1.17,o,NA
dallas,desoto isd,0.16,0.07,0.24,0.19,0.41,0.26,b,9747
dallas,desoto private school,0,0,NA,1.49,2.05,2.5,o,NA
dallas,duncanville isd,0.34,0.34,0.37,0.42,0.45,0.55,b,12824
dallas,eagle advantage schools,1.68,1.66,1.28,0.88,NA,NA,o,NA
dallas,education center international academy,0,2.51,3.24,1.77,0.85,4.76,o,473
dallas,evolution academy charter school,0,0,NA,0,0.5,0.12,i,802
dallas,faith family academy of oak cliff,NA,1.2,0.18,1.1,0.47,NA,i,NA
dallas,fellowship christian academy dallas,1.45,1.57,0.41,0.46,1.65,2.58,o,258
dallas,first baptist academy dallas,2.08,1.44,1.72,2.5,2.43,NA,o,239
dallas,focus learning academy,0.22,0,0.11,0.57,0,NA,i,868
dallas,fort worth can academy,NA,0,NA,0,0.45,NA,i,NA
dallas,garland christian academy,0.97,1.38,3.55,1.24,5.66,3.72,o,302
dallas,garland isd,0.3,0.33,0.43,0.48,0.65,0.67,b,57133
dallas,gateway charter academy,NA,0.86,0.55,0.78,0.32,1.77,i,618
dallas,golden rule charter school,0.26,NA,0.2,0.47,0.19,0.94,i,1476
dallas,good shepherd catholic sch,0,NA,0,0,0,0,o,NA
dallas,good shepherd episcopal school,0.38,0.57,1.19,0.83,1.25,1.11,o,601
dallas,good tree academy,NA,1.03,NA,0.69,NA,NA,o,NA
dallas,grace academy of dallas,0.96,3.09,12.08,1.79,3.76,4.07,o,194
dallas,grand prairie isd,0.4,0.36,0.45,0.51,0.53,0.76,b,29344
dallas,greenhill school,0.8,1.39,1.35,1.59,1.78,1.57,o,1289
dallas,hampton preparatory,NA,0.96,0.24,NA,NA,NA,o,NA
dallas,harmony school of business - dallas,NA,0.44,1.04,0.67,NA,NA,o,NA
dallas,harmony school of innovation,0.6,0.91,1.26,1.58,NA,NA,o,NA
dallas,harmony school of nature & athletics,NA,1.29,1.86,1.1,NA,NA,o,NA
dallas,harmony science academy garland,0,0.15,0.09,1.31,NA,NA,o,NA
dallas,harmony science academy grand prairie,1.14,0.38,0.18,1.56,NA,NA,o,NA
dallas,highland park isd,1.38,1.31,1.36,1.53,1.31,1.44,b,7044
dallas,highland park isd,1.38,1.31,1.36,1.53,1.31,1.44,g,7044
dallas,holy family of nazareth sch,NA,NA,0,NA,NA,NA,o,NA
dallas,holy trinity school,0,0.61,NA,0,0,0,o,NA
dallas,honors academy,0,0.4,NA,NA,NA,NA,i,NA
dallas,iant quranic academy,0,0,1.72,1.44,NA,NA,o,NA
dallas,immaculate conception catholic sch,0,0,0,0,0,NA,o,139
dallas,inspired vision academy,NA,0.21,0.22,0.19,0,0,i,1128
dallas,international leadership of texas (ilt),NA,0.62,1.72,2.17,1.16,1.42,o,10239
dallas,irving isd,0.27,0.29,0.33,0.39,0.47,0.52,b,34792
dallas,islamic school of irving,NA,0.4,NA,NA,4.23,NA,o,NA
dallas,j. erik jonsson community school,0.54,0,0,NA,NA,NA,o,NA
dallas,jesuit college preparatory school,0.09,0.18,0.18,0.18,0,0,o,1095
dallas,kipp dallas-fort worth,NA,NA,NA,NA,0.2,0.21,i,1997
dallas,kipp truth academy,1.13,NA,NA,0.08,NA,NA,o,NA
dallas,la academia de estrellas,0,0.5,0,0,0,0.18,i,1083
dallas,lakehill preparatory school,NA,0.78,1,0.51,0.52,1.59,o,NA
dallas,lancaster isd,0.25,0.3,0.23,0.44,0.3,0.41,b,7640
dallas,legacy preparatory,0.73,2.45,1.52,1.52,1.61,0.5,i,1362
dallas,lighthouse christian academy,0,NA,NA,NA,NA,NA,o,NA
dallas,lumin education,NA,NA,NA,NA,5.33,8.6,o,293
dallas,manara academy,3.71,2.41,2.16,0.69,0.88,1.03,i,917
dallas,mary immaculate sch,0,0,0,0,0,0,o,514
dallas,mesquite isd,0.2,0.2,0.22,0.27,0.25,0.42,b,41038
dallas,momentous school,NA,NA,NA,0,0.52,NA,o,NA
dallas,mount st. michael catholic sch,0,0,0,0,0,0,o,161
dallas,new century montessori academy,NA,NA,NA,NA,4.26,NA,o,NA
dallas,north dallas adventist academy,NA,NA,4.44,3.7,NA,NA,o,NA
dallas,north hills preparatory school,0.93,1.24,1.14,NA,NA,NA,o,NA
dallas,notre dame of dallas sp sch/voc ctr,1.33,1.32,0,0,0,0,o,152
dallas,nova academy,NA,0,0,0.43,0.29,0,i,192
dallas,nova academy (southeast),0,0,0,0.43,0.29,NA,i,701
dallas,nova academy prichard,0,0.29,0.62,1.42,NA,0.18,o,NA
dallas,oak hill academy,5.83,NA,4.79,6.92,6.51,2.98,o,NA
dallas,our lady of perp help,0,0,0,0,0,0,o,153
dallas,our redeemer lutheran school dallas,2.94,0,2.29,NA,3.7,3.03,o,NA
dallas,parish episcopal school,0.27,0.27,0.74,4.07,1.02,NA,o,1130
dallas,peak preparatory school,NA,0.96,0.24,NA,NA,NA,o,NA
dallas,pegasus school of liberal arts and scien,0,0.14,0.15,0,1.5,2.3,o,726
dallas,pioneer technology & arts academy,NA,NA,NA,NA,3.8,1.73,o,77
dallas,preston hollow presbyterian school,0,0,NA,NA,0.79,NA,o,NA
dallas,prince of peace christian school carroll,1.96,2.12,2.49,3.12,4.05,4.43,o,876
dallas,providence academy,NA,NA,NA,NA,3.57,4.42,o,NA
dallas,providence christian school of texas,5.13,4.11,5.8,8.73,5.07,4.9,o,456
dallas,reconciliation academy,0,NA,0,2.37,NA,NA,i,NA
dallas,redeemer montessori school,NA,NA,NA,NA,6.36,NA,o,NA
dallas,richardson isd,0.62,0.68,0.82,0.85,1.04,1.23,b,39268
dallas,richland collegiate high school,NA,NA,NA,NA,1.05,1.2,i,572
dallas,richland collegiate hs of math science e,0.87,0,NA,0.59,NA,NA,o,NA
dallas,rockwall christian academy,2.02,5.19,NA,NA,NA,NA,o,NA
dallas,salam academy,NA,NA,NA,2.23,NA,6.72,o,NA
dallas,santa clara of assisi catholic academy,NA,0,0,0,0,NA,o,NA
dallas,scofield christian school,NA,2.94,4.72,0,4.11,5.62,o,NA
dallas,shelton school,1.96,1.62,1.58,2.24,2.75,2.43,o,877
dallas,southwest adventist junior academy,0.55,NA,NA,NA,NA,NA,o,NA
dallas,st anthony school,NA,NA,NA,NA,1.28,1.49,i,313
dallas,st augustine catholic sch,0,0,0,NA,NA,NA,o,NA
dallas,st bernard of clairvaux sch,0,0,0,NA,0,NA,o,NA
dallas,st cecilia catholic sch,NA,NA,0,12.78,0,NA,o,NA
dallas,st elizabeth of hungry catholic sch,0,0,0,0,0,0,o,264
dallas,st joseph catholic school,0,0,0,0,0,0,o,363
dallas,st luke sch,0,0,0,0,NA,NA,o,NA
dallas,st mark s school of texas,0.47,0.35,0.35,0.35,0,0,o,854
dallas,st mary of carmel sch,0,0,0,0,0,NA,o,153
dallas,st monica catholic sch,0,0,0,0,0,0,o,811
dallas,st patrick sch,0,0,0,0,0,0,o,521
dallas,st paul the apostle sch,0.35,0,0,0,0,0,o,363
dallas,st philip and st augustine academy,NA,NA,NA,NA,0,0,o,NA
dallas,st philip s school and community center,0.42,0.41,0,0,0.45,NA,o,216
dallas,st philip the apostle catholic sch,0,0,0,NA,NA,NA,o,NA
dallas,st pius x catholic sch,0.29,0,0,0,0,0,o,346
dallas,st rita catholic sch,0,0,0,0,0,0,o,671
dallas,st thomas aquinas sch,0.8,0.23,0.23,0,NA,0,o,NA
dallas,st. alcuin montessori school,2.26,3.43,6.41,5.23,2.04,NA,o,510
dallas,st. anthony ' s school,0,0,0,0,0,0,o,84
dallas,st. john's episcopal school,0.61,1,1.99,1.89,2.46,3.16,o,465
dallas,summit international preparatory,0,0.96,0.24,NA,NA,NA,o,NA
dallas,sunnyvale isd,1.34,0.96,0.33,0.94,1.63,0.55,f,1738
dallas,texans can academies,NA,NA,NA,NA,0.45,0,o,5271
dallas,the cambridge school of dallas,3.74,4.17,8.26,4.81,5.94,5.88,o,118
dallas,the covenant school,NA,4.14,3.95,3.85,4.78,NA,o,NA
dallas,the episcopal school of dallas,1.29,1,1.17,NA,1.01,NA,o,NA
dallas,the fairhill school,1.6,2.59,3.4,4.19,3.83,3.66,o,172
dallas,the highlands sch,NA,0.49,0.68,1.49,1.96,2.05,o,NA
dallas,the hockaday school,0.75,0.86,1.05,0.64,0.95,0.76,o,1098
dallas,the kessler school,NA,5.41,0.75,2.08,3.8,6.17,o,NA
dallas,the lamplighter school,1.12,0.99,1.99,2.42,2.23,2.43,o,446
dallas,the westwood school,2.69,1.69,4.66,7.66,9.5,NA,o,320
dallas,the winston school of dallas,NA,NA,2.74,0,0.64,2.03,o,NA
dallas,torah day school of dallas,2.82,2.93,3.05,2.33,NA,6.34,o,NA
dallas,trinity basin preparatory,0,0,0,0.08,0,0.08,i,2778
dallas,trinity christian acad,1.83,2.54,3.25,3.59,4.08,4.64,o,563
dallas,trinity environmental academy,NA,NA,NA,2.9,1.89,2.08,o,239
dallas,tyler st chr acad h s,1.09,1.05,NA,NA,NA,0,o,NA
dallas,ume preparatory academy,11.34,7.51,4.84,5.21,5.38,6.05,i,627
dallas,universal academy,0.43,0.2,0.23,0.41,0.15,NA,i,2090
dallas,uplift education,NA,NA,NA,0.61,0.65,0.55,o,15768
dallas,uplift education- laureate prep,0.83,1.41,NA,NA,NA,NA,o,NA
dallas,uplift education- peak prep,0.28,0.27,NA,NA,NA,NA,o,NA
dallas,uplift education-heights prep,0.27,0.14,NA,NA,NA,NA,o,NA
dallas,uplift education-infinity prep,0,0.3,NA,NA,NA,NA,o,NA
dallas,uplift education-pinnacle preparatory,0.39,NA,NA,NA,NA,NA,o,NA
dallas,ursuline academy of dallas,0,0,0,0,0,0,o,818
dallas,vangauard preparatory school,8.59,4.46,6.6,7.45,1.03,10.2,o,120
dallas,village tech schools,NA,1.41,NA,1.36,1,4,o,823
dallas,waxahachie faith family academy,0.11,1.2,0.18,1.1,0.47,NA,i,82
dallas,wesley prep,3.89,3.21,1.95,4.1,4.74,5.15,o,449
dallas,williams preparatory,NA,0.96,0.24,NA,NA,NA,o,NA
dallas,winfree academy charter schools,0,0.2,0.32,1.01,1.26,0.77,i,1429
dallas,yavneh academy,NA,NA,NA,NA,0.26,0,o,NA
dallas,zion lutheran school dallas,2.94,2.82,2.72,1.6,1.19,1.2,o,271
dawson,dawson isd,0,0,0,0,0.6,0.77,h,170
dawson,klondike isd,0.44,0,0,0,0,0,h,259
dawson,lamesa isd,0.26,0.29,0.57,0.16,0.59,0.33,g,2014
dawson,sands cisd,0.48,0.5,2.27,3.73,1.83,2.58,h,235
deaf smith,hereford isd,0.07,0.02,0.05,0,0.13,0.19,d,4244
deaf smith,st anthony's sch,0.9,0.98,0.88,0,0,NA,o,103
deaf smith,walcott isd,0,0,0,0,NA,0,h,NA
delta,cooper isd,0.97,0.81,1.06,1.61,1.68,1.17,h,830
denton,argyle isd,2.15,2.48,3.11,2.78,3.63,3.8,d,2445
denton,aubrey isd,2.46,2.64,3.5,3.66,3.94,4.63,d,2401
denton,coram deo academy,10.94,12.44,13.15,13.67,14.87,14.41,o,637
denton,denton calvary academy,14.11,NA,8.65,NA,7.46,10.13,o,NA
denton,denton isd,10.13,12.43,1.69,1.84,2.04,1.08,c,28628
denton,education center,0.64,2.14,NA,NA,NA,NA,o,NA
denton,explorations preparatory school,NA,NA,NA,5.88,3.85,3.15,o,NA
denton,immaculate conception sch,0,0,0,0,0,0,o,255
denton,krum isd,1.87,2.49,2.84,2.3,2.37,2.33,d,2093
denton,lake dallas isd,1.22,1.37,1.3,1.41,1.75,2.04,d,3963
denton,lakeland christian academy,1.19,2.47,4.71,3.67,2.86,5.18,o,587
denton,lewisville isd,1.02,1.18,1.53,1.5,1.54,1.73,b,53257
denton,liberty christian h s,5.28,5.63,6.38,7.63,6.9,7.55,o,1380
denton,little elm isd,0.98,1.03,1.32,1.25,1.68,1.87,d,7375
denton,north texas collegiate academy,NA,NA,NA,NA,2.86,3.28,o,337
denton,pilot point isd,0.34,0.66,1.11,1.35,0.93,1.05,d,1362
denton,ponder isd,1.34,1.65,2.08,2.51,2.54,2.48,d,1330
denton,premier high schools,NA,NA,NA,NA,1.63,0.65,i,NA
denton,responsive education solutions,3.41,0.62,3.77,3.84,9.82,NA,o,12778
denton,sanger isd,1.31,1.62,2,0.96,1.87,2.5,d,2686
denton,temple christian academy,9.88,9.15,10.83,12.84,13.73,9.57,o,112
denton,the selwyn school,1.77,5.38,3.37,4.4,NA,8.7,o,NA
dewitt,cuero isd,0.15,0.3,0.34,0.37,0.4,0.25,g,2045
dewitt,meyersville isd,1.63,0,0,3.16,1.77,1.59,h,110
dewitt,nordheim isd,NA,NA,0,0,0,0,h,156
dewitt,st. michael's catholic school,0,0,0,NA,0,1.45,o,NA
dewitt,westhoff isd,4.41,4.55,NA,NA,NA,NA,h,69
dewitt,yorktown isd,0,0.19,0.41,0.61,1.03,1.33,h,515
dickens,patton springs isd,4.3,1.05,NA,0,0,0,h,103
dickens,spur isd,0,0,0.69,0.74,0,0,h,280
dimmit,carrizo springs cisd,0.04,0.04,0,0,0,0,d,2213
donley,clarendon isd,0.93,0.71,1.67,0.67,0.67,1.83,h,481
donley,hedley isd,0,0.94,0,0,0,0,h,116
duval,benavides isd,0,0,0,0,0,0,h,363
duval,freer isd,0,0.13,0.14,0.13,0.4,0.27,h,811
duval,san diego isd,0,0,0,0,0,0,g,1377
eastland,cisco isd,2.23,3.29,3.33,3.67,3.76,2.94,g,887
eastland,eastland isd,0,0.76,0.86,0.28,1.32,NA,g,1111
eastland,gorman isd,0,0.34,0,0.33,2.11,1.68,h,334
eastland,ranger isd,0.93,0.88,1.42,0.25,0.28,0.88,h,386
eastland,rising star isd,1.57,4.44,1.92,3.75,2.84,0.71,h,141
ector,compass academy charter school,1.89,3,1.75,2.81,2.31,2.53,i,778
ector,ector county isd,0.32,0.4,0.39,0.42,0.52,0.53,c,31481
ector,harmony science academy - odessa,1.71,1.37,2.03,1.54,NA,NA,o,NA
ector,st mary's central catholic sch,0,0.39,0.35,0.43,0.42,0.43,o,321
ector,st. john's episcopal school,1.87,3.09,2.24,1.75,1.64,1.06,o,205
ector,utpb stem academy,NA,NA,3.61,2.89,4.18,NA,o,563
edwards,nueces canyon cisd,0,0,0,0,0,0.73,h,283
edwards,rocksprings isd,0.38,0.39,0.41,0,0.75,0,h,287
el paso,anthony isd,0,0,0,0,0,0,g,870
el paso,burnham wood charter school district,0,0.88,0.52,0.49,0.49,0.76,o,434
el paso,canutillo isd,0.07,0.15,0.02,0.02,0.07,0.1,b,6042
el paso,cathedral high sch,0.21,NA,NA,0,0,10.69,o,NA
el paso,clint isd,0.08,0.06,0.08,0.05,0.17,0.16,b,9993
el paso,el paso academy,0,NA,NA,0,0,NA,i,NA
el paso,el paso isd,0.3,0.22,0.31,0.35,0.3,0.37,a,59772
el paso,el paso leadership academy,NA,NA,NA,0.55,0,0,o,NA
el paso,fabens isd,0.04,0,0,0,0,0.05,g,2364
el paso,faith christian academy,NA,0.21,0.25,0.69,1.1,7.69,o,NA
el paso,father yermo sch,0,16.12,NA,13.9,0,0,o,NA
el paso,harmony school of innovation-el paso,NA,0.13,0.23,0.21,NA,NA,o,NA
el paso,immanuel christian school,0.54,1.11,1.62,2.02,1.41,1.35,o,468
el paso,itec preparatory academy,NA,NA,NA,NA,5.06,NA,o,NA
el paso,jesus chapel school,0.63,1.54,0.93,1,0.99,0.97,o,171
el paso,la fe preparatory school,NA,0.37,NA,NA,0.43,0,i,NA
el paso,loretto academy,0,0,0,0,0,0.16,o,523
el paso,lydia patterson institute,NA,0,0,8.47,0,0,o,NA
el paso,mid-valley academy,NA,0,NA,0,NA,NA,o,NA
el paso,our lady of assump sch,0,0,0,NA,0,NA,o,NA
el paso,our lady of the valley,NA,0,NA,0,0,NA,o,NA
el paso,paso del norte,0,0,NA,0,NA,NA,o,NA
el paso,radford school,0,NA,0,0.49,0,0,o,NA
el paso,san elizario isd,0,0.03,0.05,0.03,0.03,0.12,b,3955
el paso,socorro isd,0.03,0.11,0.21,0.04,0.23,0.23,a,45126
el paso,somerset charter school,NA,0.78,NA,0.55,1.42,NA,o,NA
el paso,south plains academy,NA,0,NA,0,NA,NA,o,NA
el paso,st joseph sch,0.61,0.68,0.47,0.54,0,0,o,459
el paso,st matthew catholic school,0.42,0.37,0.39,0,0.32,0,o,270
el paso,st patrick's cathedral sch,NA,0,0,NA,0.44,1.36,o,NA
el paso,st pius x catholic sch,0,0,0,0,0.4,0.39,o,383
el paso,st raphael catholic sch,NA,0.83,0.65,NA,0.25,0.96,o,NA
el paso,st. clement's parish school,0,0.82,0,0.94,0.33,0.68,o,314
el paso,st. mark's school,1.25,0.85,1.91,0.84,0.72,NA,o,460
el paso,tec de monterrey prep school,NA,NA,NA,4.11,NA,NA,o,NA
el paso,tornillo isd,0,0,NA,0,0.09,0,g,NA
el paso,vista del futuro charter school,0,0.78,0.59,0.55,1.42,1.19,i,339
el paso,ysleta isd,0.08,NA,0.11,0.16,0.16,0.18,a,NA
ellis,avalon isd,0,0,0,0,0,0.55,f,403
ellis,ennis isd,0.24,0.35,0.42,0.55,0.53,0.66,c,5857
ellis,ferris isd,NA,0.04,0.35,0.43,0.25,0.49,b,2580
ellis,italy isd,0.73,0.83,0.75,0.75,0,1.37,h,585
ellis,life school,1.4,1.7,1.63,0.26,1.76,1.91,i,1949
ellis,maypearl isd,0.92,1.2,1.36,0.77,1.2,1.65,d,1099
ellis,midlothian isd,0.78,0.84,1.27,1.41,1.24,1.61,c,8441
ellis,milford isd,0.93,0.88,0.87,2.51,0.81,3.42,h,258
ellis,ovilla christian school,NA,4.4,NA,4.83,0.34,4.76,o,NA
ellis,palmer isd,0.47,0.45,0.54,0.98,1.14,1.71,d,1187
ellis,red oak isd,1.06,1.21,NA,1.2,1.3,1.37,c,5749
ellis,st joseph catholic sch,0,0.64,0,0,0,0,o,182
ellis,waxahachie isd,0.16,0.1,0.88,1.22,1.24,1.53,c,8408
ellis,waxahachie preparatory academy,6.85,9.79,NA,NA,22.89,18.44,o,NA
erath,bluff dale isd,1.71,0.99,1.03,2,1.09,5.14,h,104
erath,dublin isd,0.26,0.27,0.36,0.36,0.18,0.36,g,1177
erath,erath excels academy inc,0,0,0,0,0,0,i,136
erath,huckabay isd,0.63,1.22,2.13,2.93,1.45,2.24,h,208
erath,lingleville isd,0,0,0.92,1.69,1.16,0.38,h,271
erath,morgan mill isd,0,1.75,0.85,3.28,6.14,7.02,h,114
erath,premier high schools,0.73,NA,0.77,1.71,NA,NA,i,7038
erath,stephenville,0.48,0.48,0.75,0.76,0.93,0.94,e,3635
erath,three way isd,NA,NA,3.33,1.39,1.67,0.85,h,120
falls,chilton isd,0.21,0,0.22,0.22,0,0.21,f,512
falls,marlin isd,0.11,0,0,0,0,0,g,870
falls,rosebud-lott isd,0,0,0.16,0.31,1,0.33,h,646
falls,westphalia isd,0,0,0.63,1.29,1.92,0,h,156
fannin,bonham isd,0.67,0.62,0.87,1.01,1.13,0.85,e,1869
fannin,dodd city isd,0.58,0.55,1,1.03,1.31,NA,h,383
fannin,ector isd,0.79,1.12,1.11,0.78,0.83,NA,h,242
fannin,fannindel isd,1.22,1.69,0.65,1.31,0.63,2.58,h,180
fannin,honey grove isd,2.22,2.33,2.57,1.97,1.39,1.45,h,603
fannin,leonard isd,0.95,0.23,0.24,0.35,0.65,0.65,g,918
fannin,sam rayburn isd,0.44,1,0.67,0.82,1.01,NA,h,526
fannin,savoy isd,1.2,0.4,0.37,0,2.22,1.56,h,289
fannin,trenton isd,0.76,0.96,0.82,0.81,0.78,2.03,h,529
fayette,fayetteville isd,0,0,0,0,0.43,NA,h,240
fayette,flatonia isd,0.88,0.88,0.7,0.52,0.75,0.37,h,576
fayette,la grange isd,0.55,0.7,0.99,1.19,1.14,NA,e,1997
fayette,round top-carmine isd,1.98,3.62,3.65,1.05,1.92,1.41,h,281
fayette,sacred heart sch,0,0,0,0,0,0,o,111
fayette,schulenburg isd,0.61,0.89,1.04,0.89,0.55,0.56,h,766
fayette,st. rose of lima school,1.09,1.4,0.65,0.65,0,0,o,175
fisher,roby cisd,2.48,1.94,NA,1.04,1.03,0.99,h,294
fisher,rotan isd,0,NA,NA,0,0,NA,h,246
floyd,floydada isd,0,0.15,0,0.25,0.13,NA,h,805
floyd,lockney isd,0,0,0,0,0.23,0.23,h,464
foard,crowell isd,NA,0,0,0,0.44,0,h,227
fort bend,calvary episcopal school,2.53,1.19,2.35,1.82,2.41,NA,o,222
fort bend,cornerstone christian school sugarland,2.52,3.39,3.6,2.69,2.77,2.42,o,420
fort bend,darul arqam school southwest,NA,1.49,1.14,0,0,0,o,NA
fort bend,everest academy,1.67,2.29,0.71,2.42,0.77,3.06,o,220
fort bend,fort bend baptist academy middle school,NA,NA,1.76,NA,NA,NA,o,NA
fort bend,fort bend christian academy,NA,NA,NA,2.18,3.34,2.98,o,NA
fort bend,fort bend isd,0.4,0.5,0.52,0.53,0.6,0.68,b,72910
fort bend,ft bend baptist el,NA,NA,0.35,NA,NA,NA,o,NA
fort bend,harmony school of science,0,NA,0.13,0,NA,NA,o,NA
fort bend,harmony school of science houston high school,0.39,NA,0.38,1.83,NA,NA,o,NA
fort bend,holy rosary catholic sch,0,0,0,0,0,0,o,165
fort bend,kids r kids no. 12 missouri city,NA,0,NA,NA,NA,NA,o,NA
fort bend,kids r kids no. 27 waterside,0,0.38,0.95,NA,NA,NA,o,NA
fort bend,lamar cisd,0.36,0.41,0.33,0.02,0.08,0.12,c,29631
fort bend,logos preparatory school,8.86,6.57,NA,7.07,11.05,8.58,o,NA
fort bend,montessori house for children,4.4,NA,NA,NA,NA,NA,o,NA
fort bend,needville isd,0.65,0.85,0.56,0.17,0.67,0.5,d,3191
fort bend,sienna lutheran academy,NA,NA,NA,3.45,4.17,5.88,o,NA
fort bend,southminster school,0.97,0.95,1.05,1.04,1.27,NA,o,270
fort bend,st laurence catholic sch,0.14,0.14,0.42,0,0,0,o,718
fort bend,st. theresa catholic school sugarland,NA,NA,0,0,0,0,o,NA
fort bend,stafford msd,0.38,0.59,0.59,0.43,0.39,0.5,b,3500
fort bend,sugargrove christian school,NA,NA,NA,8.76,NA,NA,o,NA
fort bend,the honor roll school,0.14,NA,0.65,NA,0.6,1.28,o,NA
fort bend,westlake preparatory lutheran academy,4.44,3.42,4.17,4.26,8.28,NA,o,230
franklin,mount vernon isd,0.26,0.38,0.5,0.75,0.83,0.64,g,1618
freestone,dew isd,2.84,0,0,NA,1.18,1.29,h,168
freestone,fairfield isd,1.12,1.4,1.57,1.37,1.33,1.66,g,1863
freestone,teague isd,0,0.08,0.23,0.24,0.24,0.08,g,1254
freestone,wortham isd,0,0,0.41,0,0.61,0.82,h,515
frio,dilley isd,0.22,0.21,0.4,0,0,0.22,g,993
frio,pearsall isd,0,0.05,0.09,0.09,0.05,0.14,g,2247
gaines,loop isd,0.88,0,2.63,0.95,4.8,9.55,h,134
gaines,seagraves isd,0,0,0,0,0,0.58,h,570
gaines,seminole isd,4.72,5.32,5.27,5.9,7.55,10.27,g,2825
galveston,ambassadors preparatory academy,0.61,0.78,2.46,0.44,2.18,2.62,i,294
